"BehaviorSpace results (NetLogo 6.0.2)"
"Model_V13.nlogo"
"Stochastic_Uncertainties"
"05/21/2019 13:38:54:245 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-9","9"
"[run number]","everyone_is_owner","medium_socialnetwork_group","technology_heat","subsidies","large_size_community","stop_and_report","number_households","radius_socialnetwork","feasibility_constraint","initial_size_of_community","energylabels_higher","community_model","companies_utility_sector","weighting_capabilities","report_time","renovations_cheaper","large_socialnetwork_group","technologies_more_sustainable","range_inclusiveness","medium_size_community","Type_of_visualization","[step]","covariance_cap_sec_aff","covariance_cap_sec_sus","covariance_cap_sec_aut","covariance_cap_sec_com","covariance_cap_sec_inc","covariance_cap_aff_sus","covariance_cap_aff_aut","covariance_cap_aff_com","covariance_cap_aff_inc","covariance_cap_sus_aut","covariance_cap_sus_com","covariance_cap_sus_inc","covariance_cap_aut_com","covariance_cap_aut_inc","covariance_cap_com_inc"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.0324304154912262E-4","1.0912087710430118E-4","5.108211675483515E-5","8.337962754430446E-5","8.378000990946325E-5","1.0324304154912262E-4","5.2005220541175384E-5","1.2088210908083619E-4","1.4186881805457202E-4","5.108211675483515E-5","8.337962754430446E-5","8.378000990946325E-5","4.3341391028436014E-5","4.564358962810032E-5","1.374312468407329E-4"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","0","1","5","0","25","0","20","50","""feasibility""","2","1.2161614341696397E-4","1.1636112487425434E-4","6.889913200439425E-5","1.0660180472351069E-4","1.0835347757107968E-4","1.2161614341696397E-4","8.098845508571491E-5","1.714303826821298E-4","1.9902340068098491E-4","6.889913200439425E-5","1.0660180472351069E-4","1.0835347757107968E-4","7.32699728240436E-5","7.866401302132031E-5","1.962374067234211E-4"
