"BehaviorSpace results (NetLogo 6.0.2)"
"Model_V13.nlogo"
"Weighting_Capabilities"
"05/26/2019 17:26:53:204 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-15","15","-9","9"
"[run number]","everyone_is_owner","medium_socialnetwork_group","technology_heat","subsidies","large_size_community","stop_and_report","number_households","radius_socialnetwork","feasibility_constraint","initial_size_of_community","energylabels_higher","community_model","report_time","companies_utility_sector","weighting_capabilities","large_socialnetwork_group","renovations_cheaper","technologies_more_sustainable","range_inclusiveness","medium_size_community","Type_of_visualization","[step]","covariance_cap_sec_aff","covariance_cap_sec_sus","covariance_cap_sec_aut","covariance_cap_sec_com","covariance_cap_sec_inc","covariance_cap_aff_sus","covariance_cap_aff_aut","covariance_cap_aff_com","covariance_cap_aff_inc","covariance_cap_sus_aut","covariance_cap_sus_com","covariance_cap_sus_inc","covariance_cap_aut_com","covariance_cap_aut_inc","covariance_cap_com_inc"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.1445930863975175E-4","1.1415902186588119E-4","7.286959045888438E-5","1.0795309520592164E-4","1.039492715543344E-4","1.1445930863975175E-4","8.227486879599416E-5","1.447493467372489E-4","1.5808430384350866E-4","7.286959045888438E-5","1.0795309520592164E-4","1.039492715543344E-4","8.13554722537769E-5","8.471423542816414E-5","1.7106336551406633E-4"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.5127780363580646E-4","1.4518865516568256E-4","1.0139683397644617E-4","1.323263716849598E-4","1.2742168771176464E-4","1.5127780363580646E-4","1.2060406577169897E-4","2.0113652983043108E-4","2.2783980924004222E-4","1.0139683397644617E-4","1.323263716849598E-4","1.2742168771176464E-4","1.1023861120703467E-4","1.1577723392506264E-4","2.2945246043304702E-4"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","1.1577723392506858E-4","1.1717857220312038E-4","6.897698413095822E-5","1.0203077272128165E-4","1.0223096390386072E-4","1.1577723392506858E-4","7.656200560424799E-5","1.4150180088651502E-4","1.6225495348057484E-4","6.897698413095822E-5","1.0203077272128165E-4","1.0223096390386072E-4","7.092328729492784E-5","7.652864040715187E-5","1.6812722816956827E-4"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","2","9.809367946388842E-5","9.8644205215981E-5","4.9947700053555274E-5","8.400522498986488E-5","8.182814587931441E-5","9.809367946388842E-5","5.6112847028174834E-5","1.2056513970842286E-4","1.3353864051280254E-4","4.9947700053555274E-5","8.400522498986488E-5","8.182814587931441E-5","5.063168659403294E-5","5.2839350468588165E-5","1.3522914383236028E-4"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","8.454740944268431E-5","7.790773522046834E-5","5.171605549966627E-5","8.207838485753875E-5","8.341299274140114E-5","8.454740944268431E-5","6.919571153414255E-5","1.427418740452684E-4","1.6994563141133057E-4","5.171605549966627E-5","8.207838485753875E-5","8.341299274140114E-5","7.183526934889293E-5","8.104406374754391E-5","1.9323453898473068E-4"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","1.0972701151822259E-4","9.859415742033602E-5","7.080094823890069E-5","9.852742702614387E-5","9.956174813613673E-5","1.0972701151822259E-4","9.618074149701714E-5","1.848765571120398E-4","2.238804725179164E-4","7.080094823890069E-5","9.852742702614387E-5","9.956174813613673E-5","9.182102240973408E-5","1.0316518942256401E-4","2.36592612611711E-4"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","8.427492699973175E-5","7.972613846223124E-5","4.8663139965334656E-5","7.605596678160935E-5","7.959267767384454E-5","8.427492699973175E-5","6.285817770786322E-5","1.2978505583944032E-4","1.5863482959559965E-4","4.8663139965334656E-5","7.605596678160935E-5","7.959267767384454E-5","6.0674610920097803E-5","7.008359650132852E-5","1.6927832746939942E-4"
"2","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","3","7.288905349052826E-5","6.727674929557712E-5","3.516413730668656E-5","6.426136960797538E-5","6.592962946280353E-5","7.288905349052826E-5","4.664269191893488E-5","1.2124912624890181E-4","1.4533879855261892E-4","3.516413730668656E-5","6.426136960797538E-5","6.592962946280353E-5","4.393084284380808E-5","4.92470309145271E-5","1.5221202915450911E-4"
"3","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","6.711909873929584E-5","5.924157570479765E-5","4.019838946193426E-5","6.610813326727E-5","6.891080982338106E-5","6.711909873929584E-5","5.8352393202173315E-5","1.2786544483314843E-4","1.565094665405455E-4","4.019838946193426E-5","6.610813326727E-5","6.891080982338106E-5","6.17956815425387E-5","7.183860586860378E-5","1.805624371274569E-4"
"4","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","6.639674222215759E-5","6.051779449374136E-5","3.770267271911419E-5","6.065792832154672E-5","6.48419240374552E-5","6.639674222215759E-5","5.246121156816197E-5","1.132915267413743E-4","1.4168530947054778E-4","3.770267271911419E-5","6.065792832154672E-5","6.48419240374552E-5","5.153254691563943E-5","6.114172367944928E-5","1.526958245124088E-4"
"1","false","10","3","0","300","true","2235","2","true","240","false","1","5","0","1","25","0","0","20","50","""communities""","4","0.0019022933568224312","0.002173590779194131","-1.5166817644193603E-4","9.884789974425573E-4","0.0011428314039908108","0.0019022933568224312","-1.0536061939160655E-4","9.314295151870003E-4","0.00109380458337712","-1.5166817644193603E-4","9.884789974425573E-4","0.0011428314039908108","-2.0329414590978256E-5","-2.679892630800917E-5","6.42723801230174E-4"
